id,price,city,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds
1136972,60.0,boston,jamaica plain,apartment,private room,2,1,1,1
1071235,135.0,jamaica plain,jamaica plain,apartment,entire home/apt,2,1,1,1
4233242,119.0,jamaica plain,jamaica plain,bed & breakfast,private room,2,1,1,1
14415125,275.0,boston,jamaica plain,condominium,entire home/apt,5,1,2,2
3905508,130.0,boston,,house,entire home/apt,2,1,1,1
1628130,750.0,boston,jamaica plain,house,entire home/apt,10,3,4,7
14566386,160.0,boston,,apartment,entire home/apt,3,1,2,3
9590679,65.0,boston,jamaica plain,condominium,private room,1,1,1,1
14469677,77.0,boston,,house,private room,4,1,1,2
447826,71.0,boston,jamaica plain,house,private room,2,1,1,1
12736777,200.0,boston,,townhouse,entire home/apt,2,1,1,1
9459945,55.0,boston,jamaica plain,apartment,private room,2,1,1,1
13621476,95.0,boston,jamaica plain,apartment,private room,2,2,1,1
2365632,220.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
10163454,54.0,boston,jamaica plain,house,private room,2,1,1,1
14308511,72.0,boston,,apartment,private room,3,1,1,2
13751426,70.0,boston,jamaica plain,apartment,private room,2,1,1,1
1692573,135.0,boston,jamaica plain,house,entire home/apt,4,1,2,3
12932001,300.0,jamaica plain,jamaica plain,house,entire home/apt,6,1,3,3
5182313,110.0,boston,jamaica plain,apartment,private room,2,1,1,1
13865867,70.0,boston,jamaica plain,house,private room,2,1,1,1
4331214,75.0,boston,jamaica plain,house,private room,1,1,1,1
12824498,70.0,boston,jamaica plain,apartment,private room,2,1,1,1
14602997,88.0,boston,jamaica plain,condominium,private room,2,1,1,1
6377998,480.0,boston,jamaica plain,house,entire home/apt,12,2,4,7
743211,550.0,boston,jamaica plain,house,entire home/apt,9,2,4,5
5166870,180.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
3593290,325.0,boston,jamaica plain,house,entire home/apt,5,3,4,4
14672735,65.0,boston,jamaica plain,apartment,private room,1,1,1,1
1612842,290.0,boston,jamaica plain,apartment,entire home/apt,4,1,3,4
332225,159.0,boston,jamaica plain,house,entire home/apt,4,2,4,3
496022,200.0,boston,jamaica plain,house,private room,2,1,1,1
8720718,95.0,boston,jamaica plain,house,private room,2,1,1,1
9212213,65.0,boston,,condominium,entire home/apt,2,1,1,1
8310894,99.0,boston,jamaica plain,apartment,entire home/apt,3,1,1,1
1167221,93.0,boston,jamaica plain,house,private room,3,1,1,2
2592416,500.0,boston,jamaica plain,house,entire home/apt,10,2,4,6
1701741,295.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
4526315,450.0,boston,jamaica plain,house,entire home/apt,11,3,5,5
5918944,150.0,boston,jamaica plain,house,entire home/apt,4,1,2,2
5738018,95.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,1
4181530,150.0,boston,jamaica plain,condominium,entire home/apt,4,1,2,2
6065674,399.0,boston,jamaica plain,apartment,entire home/apt,8,2,4,4
13698137,71.0,boston,,house,private room,2,1,1,1
12209652,500.0,boston,jamaica plain,apartment,entire home/apt,6,1,3,3
5049582,70.0,boston,jamaica plain,bed & breakfast,private room,2,1,1,1
12209339,125.0,boston,jamaica plain,apartment,private room,2,1,1,1
8981656,85.0,boston,jamaica plain,bed & breakfast,private room,2,1,1,1
13110347,61.0,jamaica plain,jamaica plain,apartment,private room,2,1,1,1
9833460,250.0,jamaica plain,jamaica plain,house,entire home/apt,6,2,2,4
8801250,56.0,boston,jamaica plain,house,private room,2,1,1,1
11553697,200.0,boston,jamaica plain,apartment,shared room,3,1,1,2
13110084,220.0,boston,jamaica plain,apartment,entire home/apt,6,1,2,3
14682931,80.0,boston,jamaica plain,bed & breakfast,private room,1,1,1,1
6425318,60.0,boston,jamaica plain,bed & breakfast,private room,2,1,1,1
2378421,125.0,boston,jamaica plain,house,private room,2,1,1,2
2443944,500.0,boston,jamaica plain,house,entire home/apt,5,2,3,3
14683493,149.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
12949270,65.0,boston,jamaica plain,apartment,private room,2,1,1,1
12781774,99.0,boston,jamaica plain,apartment,entire home/apt,2,1,0,1
8226982,67.0,boston,jamaica plain,apartment,private room,3,1,1,2
5212321,180.0,boston,jamaica plain,house,entire home/apt,5,1,2,4
4339392,170.0,boston,jamaica plain,apartment,entire home/apt,3,2,2,2
12191871,115.0,boston,jamaica plain,house,entire home/apt,4,1,2,2
12190053,235.0,boston,jamaica plain,house,entire home/apt,4,2,2,3
6764572,89.0,boston,jamaica plain,house,private room,2,1,1,1
8521792,110.0,boston,,house,private room,2,1,1,1
4065322,84.0,boston,jamaica plain,apartment,private room,2,1,1,1
12209147,125.0,boston,jamaica plain,apartment,private room,2,1,1,1
14501824,130.0,boston,jamaica plain,apartment,entire home/apt,3,1,1,1
12274601,65.0,boston,jamaica plain,apartment,private room,1,1,1,1
4457943,86.0,boston,jamaica plain,townhouse,private room,2,1,1,1
9865550,75.0,boston,jamaica plain,apartment,entire home/apt,4,1,1,1
4838985,255.0,boston,jamaica plain,apartment,entire home/apt,6,1,3,2
197972,145.0,boston,jamaica plain,house,entire home/apt,3,1,1,1
10749312,199.0,boston,jamaica plain,house,entire home/apt,5,1,3,4
1115394,91.0,boston,jamaica plain,apartment,private room,2,1,1,1
5702292,81.0,boston,jamaica plain,house,private room,2,1,1,1
4015972,60.0,boston,jamaica plain,apartment,private room,2,1,1,1
2295530,99.0,boston,jamaica plain,house,private room,3,1,1,2
5882411,88.0,boston,jamaica plain,condominium,private room,1,1,1,1
6914622,225.0,boston,,house,entire home/apt,2,1,1,1
13697486,50.0,boston,jamaica plain,apartment,private room,2,1,1,1
14254537,225.0,boston,jamaica plain,condominium,entire home/apt,3,2,1,1
13041752,48.0,boston,jamaica plain,townhouse,private room,1,1,1,1
4538423,37.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
1885386,85.0,boston,jamaica plain,house,private room,2,1,1,1
115936,525.0,boston,jamaica plain,apartment,entire home/apt,12,1,4,1
8275122,100.0,boston,jamaica plain,apartment,private room,2,1,1,1
2798787,75.0,jamaica plain,jamaica plain,house,private room,2,1,1,1
9110588,25.0,boston,jamaica plain,apartment,private room,2,1,1,1
2950175,50.0,boston,jamaica plain,apartment,private room,1,1,1,1
5293067,49.0,boston,jamaica plain,house,private room,2,1,1,1
13829133,125.0,jamaica plain,,house,private room,4,1,1,3
14161407,180.0,boston,jamaica plain,condominium,entire home/apt,4,1,2,2
11912139,60.0,boston,jamaica plain,apartment,private room,2,1,1,1
2933661,85.0,boston,jamaica plain,apartment,private room,2,1,1,1
1803138,85.0,boston,jamaica plain,apartment,private room,2,1,1,1
11397952,64.0,boston,jamaica plain,house,private room,2,1,1,1
50032,725.0,boston,jamaica plain,apartment,entire home/apt,12,2,4,5
6390634,75.0,boston,jamaica plain,condominium,private room,2,1,1,1
6291807,119.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
1949996,110.0,boston,jamaica plain,apartment,entire home/apt,4,1,1,2
8634599,179.0,boston,jamaica plain,house,entire home/apt,2,1,1,1
11370704,175.0,boston,jamaica plain,apartment,entire home/apt,6,2,2,2
1704090,125.0,boston,jamaica plain,apartment,entire home/apt,2,1,0,1
1187188,220.0,boston,jamaica plain,loft,entire home/apt,4,1,2,4
903598,299.0,boston,mission hill,apartment,entire home/apt,4,1,2,2
9903,249.0,boston,mission hill,apartment,entire home/apt,2,1,1,1
14444280,115.0,boston,mission hill,apartment,entire home/apt,2,1,0,1
12379725,239.0,boston,mission hill,apartment,entire home/apt,2,1,1,1
7225376,75.0,boston,mission hill,apartment,private room,2,1,1,1
5660081,30.0,roxbury crossing,mission hill,loft,private room,2,1,1,1
13968660,45.0,boston,,apartment,private room,1,1,1,1
1426711,160.0,boston,mission hill,condominium,private room,5,1,1,5
5510597,62.0,boston,mission hill,apartment,private room,2,2,1,1
